Dados Covid-19 por cidade:

{casos | mortes | por 100k/Hab | tx morte (%)}
Araçuaí: 39 | 0 | 106.24 | 0.00%
Araújos: 42 | 1 | 452.93 | 2.38%
Arceburgo: 30 | 0 | 278.50 | 0.00%
Arcos: 281 | 4 | 700.89 | 1.42%
Areado: 3 | 0 | 19.91 | 0.00%
Argirita: 5 | 1 | 183.35 | 20.00%
Aricanduva: 1 | 0 | 19.12 | 0.00%
Arinos: 60 | 1 | 335.66 | 1.67%
Astolfo Dutra: 110 | 3 | 775.80 | 2.73%
Ataléia: 105 | 4 | 815.98 | 3.81%
Augusto de Lima: 34 | 0 | 698.30 | 0.00%
Açucena: 61 | 2 | 644.14 | 3.28%
Baependi: 63 | 1 | 329.02 | 1.59%
Baldim: 23 | 2 | 293.89 | 8.70%
Bambuí: 28 | 0 | 117.50 | 0.00%
Bandeira: 198 | 1 | 4,129.30 | 0.51%
Bandeira do Sul: 19 | 0 | 330.66 | 0.00%
Barbacena: 681 | 10 | 495.95 | 1.47%
Barra Longa: 59 | 0 | 1,149.87 | 0.00%
Barroso: 122 | 0 | 586.26 | 0.00%
Barão de Cocais: 372 | 3 | 1,145.14 | 0.81%
Barão de Monte Alto: 52 | 1 | 963.50 | 1.92%
Bela Vista de Minas: 38 | 1 | 370.55 | 2.63%
Belmiro Braga: 13 | 2 | 379.12 | 15.38%
Belo Horizonte: 33,657 | 978 | 1,339.81 | 2.91%
Belo Oriente: 456 | 9 | 1,707.87 | 1.97%
Belo Vale: 70 | 2 | 907.32 | 2.86%
Berilo: 5 | 0 | 41.90 | 0.00%
Berizal: 2 | 0 | 42.24 | 0.00%
Bertópolis: 8 | 0 | 173.76 | 0.00%
Betim: 4,750 | 167 | 1,081.17 | 3.52%
Bias Fortes: 13 | 0 | 384.73 | 0.00%
Bicas: 48 | 1 | 331.17 | 2.08%
Biquinhas: 27 | 0 | 1,073.56 | 0.00%
Boa Esperança: 88 | 7 | 219.30 | 7.95%
Bocaina de Minas: 12 | 0 | 235.76 | 0.00%
Bocaiúva: 235 | 2 | 470.20 | 0.85%
Bom Despacho: 407 | 5 | 804.27 | 1.23%
Bom Jardim de Minas: 5 | 0 | 77.23 | 0.00%
Bom Jesus da Penha: 54 | 0 | 1,280.53 | 0.00%
Bom Jesus do Amparo: 21 | 0 | 345.22 | 0.00%
Bom Jesus do Galho: 98 | 6 | 656.18 | 6.12%
Bom Repouso: 43 | 3 | 407.70 | 6.98%
Bom Sucesso: 29 | 1 | 164.74 | 3.45%
Bonfim: 42 | 2 | 611.53 | 4.76%
Bonfinópolis de Minas: 56 | 2 | 1,019.48 | 3.57%
Bonito de Minas: 5 | 0 | 44.52 | 0.00%
Borda da Mata: 222 | 12 | 1,143.62 | 5.41%
Botelhos: 47 | 1 | 313.94 | 2.13%
Brasilândia de Minas: 182 | 1 | 1,100.50 | 0.55%
Brasília de Minas: 41 | 2 | 126.75 | 4.88%
Brazópolis: 237 | 3 | 1,639.12 | 1.27%
Braúnas: 16 | 2 | 333.26 | 12.50%
Brumadinho: 767 | 8 | 1,912.58 | 1.04%
Brás Pires: 5 | 0 | 115.39 | 0.00%
Bueno Brandão: 45 | 3 | 409.05 | 6.67%
Buenópolis: 87 | 1 | 839.36 | 1.15%
Bugre: 41 | 1 | 1,029.63 | 2.44%
Buritis: 238 | 2 | 958.09 | 0.84%
Buritizeiro: 190 | 5 | 677.22 | 2.63%
Cabeceira Grande: 36 | 0 | 518.06 | 0.00%
Cabo Verde: 22 | 0 | 156.31 | 0.00%
Cachoeira Dourada: 6 | 0 | 222.88 | 0.00%
Cachoeira da Prata: 31 | 0 | 860.39 | 0.00%
Cachoeira de Minas: 78 | 0 | 675.50 | 0.00%
Cachoeira de Pajeú: 170 | 0 | 1,806.20 | 0.00%
Caetanópolis: 65 | 0 | 559.19 | 0.00%
Caeté: 288 | 7 | 644.04 | 2.43%
Caiana: 16 | 1 | 291.12 | 6.25%
Cajuri: 43 | 0 | 1,078.51 | 0.00%
Caldas: 68 | 2 | 469.61 | 2.94%
Camanducaia: 407 | 7 | 1,869.55 | 1.72%
Cambuquira: 14 | 0 | 109.26 | 0.00%
Cambuí: 290 | 6 | 981.35 | 2.07%
Campanha: 75 | 3 | 450.05 | 4.00%
Campanário: 15 | 0 | 403.12 | 0.00%
Campestre: 102 | 4 | 484.45 | 3.92%
Campina Verde: 95 | 3 | 481.13 | 3.16%
Campo Azul: 1 | 0 | 26.20 | 0.00%
Campo Belo: 561 | 10 | 1,038.33 | 1.78%
Campo Florido: 85 | 0 | 1,042.82 | 0.00%
Campo do Meio: 38 | 0 | 326.04 | 0.00%
Campos Altos: 128 | 5 | 827.89 | 3.91%
Campos Gerais: 76 | 3 | 264.13 | 3.95%
Cana Verde: 74 | 2 | 1,320.72 | 2.70%
Canaã: 1 | 0 | 21.92 | 0.00%
Candeias: 68 | 2 | 456.81 | 2.94%
Canápolis: 276 | 6 | 2,271.60 | 2.17%
Caparaó: 29 | 3 | 533.28 | 10.34%
Capela Nova: 2 | 0 | 42.98 | 0.00%
Capelinha: 47 | 0 | 124.39 | 0.00%
Capetinga: 23 | 0 | 332.37 | 0.00%
Capim Branco: 34 | 2 | 348.57 | 5.88%
Capinópolis: 285 | 4 | 1,762.20 | 1.40%
Capitão Andrade: 16 | 1 | 292.61 | 6.25%
Capitão Enéas: 119 | 2 | 781.15 | 1.68%
Capitólio: 38 | 3 | 440.22 | 7.89%
Caputira: 38 | 0 | 408.69 | 0.00%
Caranaíba: 7 | 1 | 219.92 | 14.29%
Carandaí: 120 | 3 | 470.57 | 2.50%
Carangola: 489 | 13 | 1,481.82 | 2.66%
Caratinga: 1,292 | 37 | 1,403.40 | 2.86%
Caraí: 135 | 3 | 569.98 | 2.22%
Carbonita: 6 | 0 | 63.80 | 0.00%
Careaçu: 103 | 2 | 1,524.35 | 1.94%
Carlos Chagas: 249 | 5 | 1,321.87 | 2.01%
Carmo da Cachoeira: 9 | 0 | 73.95 | 0.00%
Carmo da Mata: 18 | 0 | 156.85 | 0.00%
Carmo de Minas: 32 | 0 | 215.36 | 0.00%
Carmo do Cajuru: 106 | 5 | 471.57 | 4.72%
Carmo do Paranaíba: 219 | 4 | 722.08 | 1.83%
Carmo do Rio Claro: 45 | 4 | 212.01 | 8.89%
Carmésia: 8 | 0 | 303.95 | 0.00%
Carmópolis de Minas: 230 | 6 | 1,188.32 | 2.61%
Carneirinho: 47 | 1 | 468.73 | 2.13%
Carrancas: 27 | 0 | 667.16 | 0.00%
Carvalhos: 1 | 0 | 22.33 | 0.00%
Carvalhópolis: 13 | 0 | 363.23 | 0.00%
Casa Grande: 1 | 0 | 44.31 | 0.00%
Cascalho Rico: 18 | 1 | 585.37 | 5.56%
Cataguases: 575 | 27 | 765.41 | 4.70%
Catas Altas: 44 | 0 | 818.45 | 0.00%
Catas Altas da Noruega: 17 | 0 | 466.90 | 0.00%
Catuji: 59 | 0 | 934.88 | 0.00%
Catuti: 9 | 0 | 180.51 | 0.00%
Caxambu: 76 | 2 | 350.94 | 2.63%
Central de Minas: 80 | 3 | 1,137.66 | 3.75%
Centralina: 148 | 3 | 1,429.95 | 2.03%
Chalé: 57 | 2 | 999.30 | 3.51%
Chapada Gaúcha: 22 | 0 | 160.82 | 0.00%
Chapada do Norte: 2 | 0 | 13.02 | 0.00%
Chiador: 91 | 1 | 3,386.68 | 1.10%
Chácara: 19 | 0 | 602.41 | 0.00%
Cipotânea: 20 | 0 | 294.68 | 0.00%
Claraval: 13 | 0 | 268.43 | 0.00%
Claro dos Poções: 34 | 1 | 450.27 | 2.94%
Cláudio: 258 | 2 | 901.56 | 0.78%
Coimbra: 35 | 0 | 463.21 | 0.00%
Coluna: 4 | 0 | 45.08 | 0.00%
Comendador Gomes: 115 | 1 | 3,696.56 | 0.87%
Comercinho: 38 | 1 | 548.42 | 2.63%
Conceição da Aparecida: 16 | 1 | 155.46 | 6.25%
Conceição da Barra de Minas: 20 | 0 | 505.82 | 0.00%
Conceição das Alagoas: 846 | 18 | 3,033.02 | 2.13%
Conceição das Pedras: 10 | 0 | 355.62 | 0.00%
Conceição de Ipanema: 23 | 0 | 502.84 | 0.00%
Conceição do Mato Dentro: 622 | 2 | 3,486.16 | 0.32%
Conceição do Pará: 26 | 1 | 472.13 | 3.85%
Conceição do Rio Verde: 17 | 1 | 124.65 | 5.88%
Conceição dos Ouros: 102 | 3 | 876.44 | 2.94%
Confins: 37 | 0 | 549.78 | 0.00%
Congonhal: 79 | 1 | 661.09 | 1.27%
Congonhas: 597 | 7 | 1,090.17 | 1.17%
Congonhas do Norte: 14 | 0 | 277.50 | 0.00%
Conquista: 151 | 2 | 2,176.11 | 1.32%
Conselheiro Lafaiete: 541 | 4 | 420.72 | 0.74%
Conselheiro Pena: 180 | 2 | 785.31 | 1.11%
Consolação: 2 | 0 | 112.17 | 0.00%
Contagem: 7,285 | 280 | 1,097.38 | 3.84%
Coqueiral: 12 | 1 | 131.02 | 8.33%
Coração de Jesus: 55 | 0 | 206.75 | 0.00%
Cordisburgo: 54 | 2 | 607.42 | 3.70%
Cordislândia: 33 | 0 | 932.73 | 0.00%
Corinto: 151 | 2 | 636.30 | 1.32%
Coroaci: 6 | 1 | 60.05 | 16.67%
Coromandel: 142 | 3 | 507.61 | 2.11%
Coronel Fabriciano: 2,813 | 52 | 2,560.65 | 1.85%
Coronel Pacheco: 32 | 1 | 1,036.94 | 3.12%
Coronel Xavier Chaves: 12 | 0 | 349.45 | 0.00%
Couto de Magalhães de Minas: 5 | 0 | 113.38 | 0.00%
Cristais: 22 | 0 | 171.90 | 0.00%
Cristiano Otoni: 10 | 1 | 194.17 | 10.00%
Cristina: 19 | 1 | 185.51 | 5.26%
Cristália: 5 | 0 | 83.74 | 0.00%
Crisólita: 41 | 1 | 611.58 | 2.44%
Crucilândia: 82 | 2 | 1,628.92 | 2.44%
Cruzeiro da Fortaleza: 2 | 0 | 55.16 | 0.00%
Cruzília: 41 | 1 | 265.94 | 2.44%
Cuparaque: 28 | 1 | 562.02 | 3.57%
Curral de Dentro: 29 | 1 | 375.21 | 3.45%
Curvelo: 610 | 12 | 761.27 | 1.97%
Cássia: 124 | 1 | 698.99 | 0.81%
Córrego Danta: 6 | 0 | 186.63 | 0.00%
Córrego Fundo: 27 | 0 | 426.07 | 0.00%
Córrego Novo: 15 | 1 | 541.32 | 6.67%
Córrego do Bom Jesus: 52 | 2 | 1,403.89 | 3.85%
Cônego Marinho: 4 | 0 | 52.34 | 0.00%
Datas: 36 | 1 | 665.43 | 2.78%
Delfim Moreira: 30 | 0 | 373.83 | 0.00%
Delfinópolis: 19 | 1 | 267.08 | 5.26%
Delta: 327 | 4 | 3,104.53 | 1.22%
Descoberto: 12 | 0 | 239.38 | 0.00%
Desterro de Entre Rios: 41 | 0 | 566.06 | 0.00%
Desterro do Melo: 8 | 0 | 275.77 | 0.00%
Diamantina: 113 | 6 | 236.78 | 5.31%
Diogo de Vasconcelos: 17 | 0 | 447.13 | 0.00%
Dionísio: 37 | 0 | 478.72 | 0.00%
Divino: 71 | 3 | 356.23 | 4.23%
Divino das Laranjeiras: 71 | 1 | 1,425.99 | 1.41%
Divinolândia de Minas: 4 | 0 | 52.83 | 0.00%
Divinésia: 17 | 1 | 497.51 | 5.88%
Divinópolis: 1,029 | 37 | 431.94 | 3.60%
Divisa Alegre: 17 | 0 | 250.52 | 0.00%
Divisa Nova: 7 | 0 | 116.45 | 0.00%
Divisópolis: 26 | 1 | 235.96 | 3.85%
Dom Bosco: 64 | 3 | 1,740.55 | 4.69%
Dom Cavati: 40 | 5 | 788.64 | 12.50%
Dom Joaquim: 102 | 0 | 2,431.47 | 0.00%
Dom Silvério: 17 | 0 | 324.61 | 0.00%
Dom Viçoso: 1 | 0 | 33.32 | 0.00%
Dona Euzébia: 23 | 1 | 349.97 | 4.35%
Dores de Campos: 15 | 0 | 147.74 | 0.00%
Dores de Guanhães: 36 | 0 | 696.46 | 0.00%
Dores do Indaiá: 161 | 1 | 1,194.10 | 0.62%
Doresópolis: 42 | 0 | 2,750.49 | 0.00%
Douradoquara: 13 | 0 | 681.34 | 0.00%
Durandé: 12 | 1 | 153.04 | 8.33%
Elói Mendes: 59 | 1 | 210.14 | 1.69%
Engenheiro Caldas: 38 | 1 | 341.30 | 2.63%
Engenheiro Navarro: 10 | 0 | 138.08 | 0.00%
Entre Folhas: 58 | 2 | 1,080.07 | 3.45%
Entre Rios de Minas: 31 | 0 | 202.64 | 0.00%
Ervália: 63 | 1 | 333.42 | 1.59%
Esmeraldas: 331 | 12 | 469.16 | 3.63%
Espera Feliz: 171 | 11 | 685.34 | 6.43%
Espinosa: 208 | 10 | 657.87 | 4.81%
Espírito Santo do Dourado: 44 | 2 | 937.77 | 4.55%
Estiva: 105 | 2 | 924.78 | 1.90%
Estrela Dalva: 15 | 2 | 640.20 | 13.33%
Estrela do Indaiá: 3 | 0 | 85.71 | 0.00%
Estrela do Sul: 42 | 0 | 526.45 | 0.00%
Eugenópolis: 154 | 3 | 1,365.85 | 1.95%
Ewbank da Câmara: 7 | 0 | 178.89 | 0.00%
Extrema: 1,657 | 15 | 4,574.19 | 0.91%
Faria Lemos: 37 | 1 | 1,141.62 | 2.70%
Felisburgo: 42 | 3 | 563.23 | 7.14%
Felixlândia: 27 | 1 | 176.06 | 3.70%
Felício dos Santos: 1 | 1 | 21.04 | 100.00%
Fernandes Tourinho: 7 | 2 | 204.02 | 28.57%
Ferros: 102 | 1 | 1,038.70 | 0.98%
Fervedouro: 58 | 1 | 526.99 | 1.72%
Florestal: 52 | 0 | 696.96 | 0.00%
Formiga: 589 | 11 | 870.23 | 1.87%
Formoso: 55 | 1 | 575.19 | 1.82%
Fortaleza de Minas: 3 | 0 | 68.00 | 0.00%
Fortuna de Minas: 19 | 0 | 644.72 | 0.00%
Francisco Badaró: 2 | 0 | 19.36 | 0.00%
Francisco Dumont: 9 | 1 | 172.58 | 11.11%
Francisco Sá: 103 | 2 | 391.98 | 1.94%
Franciscópolis: 1 | 0 | 18.55 | 0.00%
Frei Gaspar: 55 | 1 | 935.37 | 1.82%
Frei Inocêncio: 158 | 4 | 1,643.95 | 2.53%
Frei Lagonegro: 20 | 1 | 575.04 | 5.00%
Fronteira: 86 | 2 | 475.06 | 2.33%
Fronteira dos Vales: 17 | 1 | 371.10 | 5.88%
Fruta de Leite: 21 | 1 | 391.13 | 4.76%
Frutal: 856 | 26 | 1,438.75 | 3.04%
Funilândia: 16 | 0 | 367.90 | 0.00%
Galiléia: 26 | 3 | 381.40 | 11.54%
Gameleiras: 32 | 1 | 626.35 | 3.12%
Glaucilândia: 7 | 1 | 222.22 | 14.29%
Goiabeira: 14 | 0 | 417.54 | 0.00%
Goianá: 16 | 0 | 403.43 | 0.00%
Gonzaga: 4 | 0 | 64.96 | 0.00%
Gonçalves: 4 | 0 | 91.95 | 0.00%
Gouveia: 98 | 2 | 828.75 | 2.04%
Governador Valadares: 6,133 | 201 | 2,191.26 | 3.28%
Grupiara: 2 | 0 | 144.09 | 0.00%
Grão Mogol: 52 | 1 | 328.37 | 1.92%
Guanhães: 227 | 2 | 661.44 | 0.88%
Guapé: 61 | 2 | 428.22 | 3.28%
Guaraciaba: 24 | 0 | 232.47 | 0.00%
Guaraciama: 6 | 1 | 120.68 | 16.67%
Guarani: 21 | 0 | 235.66 | 0.00%
Guaranésia: 275 | 7 | 1,445.77 | 2.55%
Guarará: 5 | 0 | 131.72 | 0.00%
Guarda-Mor: 61 | 0 | 927.05 | 0.00%
Guaxupé: 665 | 8 | 1,280.89 | 1.20%
Guidoval: 9 | 0 | 127.15 | 0.00%
Guimarânia: 81 | 2 | 1,007.59 | 2.47%
Guiricema: 82 | 2 | 977.12 | 2.44%
Gurinhatã: 22 | 1 | 390.14 | 4.55%
Heliodora: 59 | 1 | 899.66 | 1.69%
Iapu: 81 | 5 | 736.10 | 6.17%
Ibertioga: 1 | 0 | 19.92 | 0.00%
Ibiaí: 2 | 0 | 23.82 | 0.00%
Ibiracatu: 12 | 0 | 222.22 | 0.00%
Ibiraci: 64 | 4 | 462.83 | 6.25%
Ibirité: 1,455 | 53 | 807.42 | 3.64%
Ibitiúra de Minas: 35 | 0 | 1,003.44 | 0.00%
Ibituruna: 2 | 0 | 66.91 | 0.00%
Ibiá: 126 | 2 | 500.02 | 1.59%
Icaraí de Minas: 10 | 0 | 83.40 | 0.00%
Igarapé: 378 | 9 | 878.15 | 2.38%
Igaratinga: 19 | 1 | 174.95 | 5.26%
Iguatama: 21 | 1 | 264.25 | 4.76%
Ijaci: 16 | 2 | 244.27 | 12.50%
Ilicínea: 17 | 3 | 137.37 | 17.65%
Imbé de Minas: 40 | 1 | 579.46 | 2.50%
Importados/Indefinidos: 659 | 51 | nan | 7.74%
Inconfidentes: 62 | 4 | 846.07 | 6.45%
Indaiabira: 35 | 0 | 476.13 | 0.00%
Indianópolis: 81 | 0 | 1,175.45 | 0.00%
Ingaí: 15 | 3 | 542.10 | 20.00%
Inhapim: 199 | 5 | 824.36 | 2.51%
Inhaúma: 26 | 1 | 414.61 | 3.85%
Inimutaba: 44 | 1 | 585.50 | 2.27%
Ipaba: 306 | 9 | 1,644.54 | 2.94%
Ipanema: 184 | 5 | 926.44 | 2.72%
Ipatinga: 7,508 | 155 | 2,850.31 | 2.06%
Ipiaçu: 31 | 1 | 734.42 | 3.23%
Ipuiúna: 58 | 3 | 575.45 | 5.17%
Iraí de Minas: 85 | 2 | 1,216.55 | 2.35%
Itabira: 1,888 | 10 | 1,572.55 | 0.53%
Itabirinha: 83 | 3 | 720.99 | 3.61%
Itabirito: 1,729 | 8 | 3,333.01 | 0.46%
Itacambira: 4 | 0 | 74.28 | 0.00%
Itacarambi: 38 | 0 | 209.33 | 0.00%
Itaguara: 274 | 1 | 2,051.21 | 0.36%
Itaipé: 22 | 0 | 172.41 | 0.00%
Itajubá: 943 | 21 | 973.48 | 2.23%
Itamarandiba: 26 | 0 | 74.85 | 0.00%
Itamarati de Minas: 11 | 0 | 252.58 | 0.00%
Itambacuri: 119 | 4 | 512.69 | 3.36%
Itambé do Mato Dentro: 3 | 0 | 144.16 | 0.00%
Itamogi: 15 | 0 | 147.17 | 0.00%
Itamonte: 170 | 0 | 1,091.21 | 0.00%
Itanhandu: 125 | 3 | 815.34 | 2.40%
Itanhomi: 46 | 2 | 376.19 | 4.35%
Itaobim: 246 | 4 | 1,167.98 | 1.63%
Itapagipe: 79 | 5 | 518.27 | 6.33%
Itapecerica: 81 | 1 | 372.21 | 1.23%
Itapeva: 312 | 9 | 3,189.21 | 2.88%
Itatiaiuçu: 256 | 4 | 2,296.79 | 1.56%
Itaverava: 9 | 0 | 166.08 | 0.00%
Itaú de Minas: 121 | 2 | 751.18 | 1.65%
Itaúna: 424 | 6 | 454.87 | 1.42%
Itinga: 43 | 3 | 286.86 | 6.98%
Itueta: 216 | 1 | 3,569.66 | 0.46%
Ituiutaba: 1,657 | 34 | 1,583.06 | 2.05%
Itumirim: 11 | 0 | 182.63 | 0.00%
Iturama: 827 | 19 | 2,106.31 | 2.30%
Itutinga: 4 | 0 | 105.60 | 0.00%
Jaboticatubas: 327 | 9 | 1,623.39 | 2.75%
Jacinto: 173 | 3 | 1,403.54 | 1.73%
Jacutinga: 273 | 7 | 1,050.85 | 2.56%
Jacuí: 6 | 0 | 78.06 | 0.00%
Jaguaraçu: 67 | 0 | 2,138.53 | 0.00%
Jampruca: 21 | 1 | 388.60 | 4.76%
Janaúba: 761 | 12 | 1,062.14 | 1.58%
Januária: 76 | 1 | 112.19 | 1.32%
Japaraíba: 28 | 0 | 643.68 | 0.00%
Japonvar: 5 | 1 | 62.74 | 20.00%
Jaíba: 146 | 0 | 375.23 | 0.00%
Jeceaba: 21 | 2 | 427.52 | 9.52%
Jenipapo de Minas: 2 | 0 | 26.00 | 0.00%
Jequeri: 7 | 0 | 56.52 | 0.00%
Jequitaí: 32 | 1 | 424.91 | 3.12%
Jequitibá: 23 | 1 | 441.37 | 4.35%
Jequitinhonha: 70 | 2 | 275.69 | 2.86%
Jesuânia: 25 | 3 | 522.25 | 12.00%
Joanésia: 43 | 2 | 940.30 | 4.65%
Joaquim Felício: 25 | 0 | 532.48 | 0.00%
Joaíma: 157 | 3 | 1,017.37 | 1.91%
Jordânia: 126 | 3 | 1,165.37 | 2.38%
Josenópolis: 12 | 0 | 246.56 | 0.00%
José Gonçalves de Minas: 1 | 0 | 22.22 | 0.00%
José Raydan: 6 | 0 | 120.12 | 0.00%
João Monlevade: 1,008 | 5 | 1,261.42 | 0.50%
João Pinheiro: 505 | 1 | 1,064.23 | 0.20%
Juatuba: 282 | 8 | 1,046.54 | 2.84%
Juiz de Fora: 4,824 | 158 | 847.99 | 3.28%
Juramento: 23 | 0 | 531.06 | 0.00%
Juruaia: 177 | 2 | 1,675.66 | 1.13%
Juvenília: 12 | 0 | 209.64 | 0.00%
Ladainha: 25 | 0 | 138.04 | 0.00%
Lagamar: 73 | 0 | 958.89 | 0.00%
Lagoa Dourada: 29 | 2 | 222.92 | 6.90%
Lagoa Formosa: 123 | 1 | 681.36 | 0.81%
Lagoa Grande: 29 | 0 | 304.24 | 0.00%
Lagoa Santa: 482 | 6 | 746.97 | 1.24%
Lagoa da Prata: 589 | 14 | 1,129.11 | 2.38%
Lagoa dos Patos: 19 | 0 | 463.19 | 0.00%
Lajinha: 309 | 4 | 1,550.97 | 1.29%
Lambari: 137 | 3 | 658.21 | 2.19%
Lamim: 6 | 0 | 176.94 | 0.00%
Laranjal: 22 | 2 | 323.05 | 9.09%
Lassance: 17 | 0 | 261.06 | 0.00%
Lavras: 256 | 20 | 246.69 | 7.81%
Leandro Ferreira: 24 | 1 | 743.26 | 4.17%
Leme do Prado: 1 | 0 | 20.33 | 0.00%
Leopoldina: 712 | 23 | 1,353.95 | 3.23%
Liberdade: 1 | 0 | 19.73 | 0.00%
Lima Duarte: 143 | 9 | 856.39 | 6.29%
Limeira do Oeste: 73 | 0 | 968.68 | 0.00%
Lontra: 6 | 1 | 62.11 | 16.67%
Luisburgo: 25 | 2 | 398.98 | 8.00%
Luislândia: 10 | 0 | 149.28 | 0.00%
Luminárias: 33 | 0 | 605.95 | 0.00%
Luz: 117 | 1 | 642.33 | 0.85%
Machacalis: 31 | 2 | 435.94 | 6.45%
Machado: 82 | 4 | 194.62 | 4.88%
Madre de Deus de Minas: 49 | 0 | 961.16 | 0.00%
Malacacheta: 172 | 1 | 922.25 | 0.58%
Mamonas: 7 | 0 | 106.98 | 0.00%
Manga: 92 | 1 | 499.81 | 1.09%
Manhuaçu: 1,063 | 21 | 1,178.11 | 1.98%
Manhumirim: 519 | 11 | 2,285.64 | 2.12%
Mantena: 513 | 8 | 1,855.74 | 1.56%
Mar de Espanha: 80 | 7 | 624.32 | 8.75%
Maravilhas: 25 | 0 | 313.44 | 0.00%
Maria da Fé: 75 | 4 | 532.10 | 5.33%
Mariana: 1,656 | 15 | 2,727.09 | 0.91%
Marilac: 6 | 0 | 145.81 | 0.00%
Maripá de Minas: 23 | 0 | 773.63 | 0.00%
Marliéria: 29 | 1 | 718.00 | 3.45%
Marmelópolis: 2 | 0 | 72.60 | 0.00%
Martinho Campos: 47 | 3 | 351.06 | 6.38%
Martins Soares: 35 | 4 | 415.83 | 11.43%
Mata Verde: 35 | 0 | 407.64 | 0.00%
Materlândia: 3 | 1 | 67.28 | 33.33%
Mateus Leme: 214 | 5 | 688.41 | 2.34%
Mathias Lobato: 37 | 0 | 1,155.17 | 0.00%
Matias Barbosa: 153 | 6 | 1,057.51 | 3.92%
Matias Cardoso: 17 | 0 | 152.37 | 0.00%
Matipó: 143 | 5 | 756.29 | 3.50%
Mato Verde: 42 | 2 | 337.11 | 4.76%
Matozinhos: 250 | 6 | 661.03 | 2.40%
Matutina: 33 | 0 | 880.23 | 0.00%
Medeiros: 20 | 0 | 526.04 | 0.00%
Medina: 191 | 4 | 917.39 | 2.09%
Mendes Pimentel: 24 | 0 | 372.32 | 0.00%
Mercês: 23 | 1 | 214.17 | 4.35%
Mesquita: 42 | 1 | 749.33 | 2.38%
Minas Novas: 21 | 1 | 66.70 | 4.76%
Minduri: 2 | 0 | 51.36 | 0.00%
Mirabela: 45 | 1 | 331.15 | 2.22%
Miradouro: 68 | 2 | 632.32 | 2.94%
Miravânia: 4 | 0 | 81.83 | 0.00%
Miraí: 132 | 0 | 879.18 | 0.00%
Moeda: 90 | 0 | 1,829.64 | 0.00%
Moema: 136 | 2 | 1,809.23 | 1.47%
Monjolos: 1 | 0 | 45.05 | 0.00%
Monsenhor Paulo: 24 | 0 | 276.24 | 0.00%
Montalvânia: 55 | 0 | 369.70 | 0.00%
Monte Alegre de Minas: 324 | 8 | 1,534.09 | 2.47%
Monte Azul: 212 | 4 | 1,016.59 | 1.89%
Monte Belo: 4 | 0 | 30.38 | 0.00%
Monte Carmelo: 200 | 6 | 418.33 | 3.00%
Monte Formoso: 13 | 0 | 264.98 | 0.00%
Monte Santo de Minas: 93 | 1 | 432.08 | 1.08%
Monte Sião: 156 | 3 | 655.38 | 1.92%
Montes Claros: 5,375 | 78 | 1,313.09 | 1.45%
Montezuma: 2 | 0 | 24.25 | 0.00%
Morada Nova de Minas: 37 | 0 | 417.47 | 0.00%
Morro da Garça: 8 | 2 | 324.94 | 25.00%
Morro do Pilar: 6 | 0 | 188.56 | 0.00%
Munhoz: 53 | 2 | 879.08 | 3.77%
Muriaé: 2,250 | 60 | 2,068.72 | 2.67%
Mutum: 317 | 5 | 1,174.99 | 1.58%
Muzambinho: 33 | 1 | 160.44 | 3.03%
Mário Campos: 127 | 7 | 823.82 | 5.51%
