Dados Covid-19 por país:

{casos confirmados | mortes (% letalidade)}
Faroe_Islands: 188 | 0 (0.00%)
Fiji: 21 | 0 (0.00%)
Finland: 7,273 | 329 (4.52%)
France: 170,094 | 29,979 (17.62%)
French_Polynesia: 62 | 0 (0.00%)
Gabon: 5,871 | 46 (0.78%)
Gambia: 64 | 3 (4.69%)
Georgia: 973 | 15 (1.54%)
Germany: 198,178 | 9,054 (4.57%)
Ghana: 23,463 | 129 (0.55%)
Gibraltar: 180 | 0 (0.00%)
Greece: 3,672 | 193 (5.26%)
Greenland: 13 | 0 (0.00%)
Grenada: 23 | 0 (0.00%)
Guam: 310 | 5 (1.61%)
Guatemala: 26,658 | 1,092 (4.10%)
Guernsey: 252 | 13 (5.16%)
Guinea: 5,881 | 36 (0.61%)
Guinea_Bissau: 1,790 | 25 (1.40%)
Guyana: 286 | 16 (5.59%)
Haiti: 6,486 | 123 (1.90%)
Holy_See: 12 | 0 (0.00%)
Honduras: 26,384 | 704 (2.67%)
Hungary: 4,220 | 591 (14.00%)
Iceland: 1,882 | 10 (0.53%)
India: 793,802 | 21,604 (2.72%)
Indonesia: 70,736 | 3,417 (4.83%)
Iran: 250,458 | 12,305 (4.91%)
Iraq: 69,612 | 2,882 (4.14%)
Ireland: 25,565 | 1,743 (6.82%)
Isle_of_Man: 336 | 24 (7.14%)
Israel: 34,825 | 348 (1.00%)
Italy: 242,363 | 34,926 (14.41%)
Jamaica: 753 | 10 (1.33%)
Japan: 20,371 | 981 (4.82%)
Jersey: 325 | 31 (9.54%)
Jordan: 1,169 | 10 (0.86%)
Kazakhstan: 54,747 | 264 (0.48%)
Kenya: 8,975 | 173 (1.93%)
Kosovo: 4,100 | 86 (2.10%)
Kuwait: 52,840 | 382 (0.72%)
Kyrgyzstan: 9,358 | 122 (1.30%)
Laos: 19 | 0 (0.00%)
Latvia: 1,154 | 30 (2.60%)
Lebanon: 2,011 | 36 (1.79%)
Lesotho: 134 | 1 (0.75%)
Liberia: 957 | 42 (4.39%)
Libya: 1,268 | 36 (2.84%)
Liechtenstein: 85 | 1 (1.18%)
Lithuania: 1,857 | 79 (4.25%)
Luxembourg: 4,719 | 110 (2.33%)
Madagascar: 3,782 | 33 (0.87%)
Malawi: 1,984 | 29 (1.46%)
Malaysia: 8,683 | 121 (1.39%)
Maldives: 2,553 | 13 (0.51%)
Mali: 2,358 | 120 (5.09%)
Malta: 674 | 9 (1.34%)
Mauritania: 5,087 | 139 (2.73%)
Mauritius: 342 | 10 (2.92%)
Mexico: 282,283 | 33,526 (11.88%)
Moldova: 18,666 | 624 (3.34%)
Monaco: 108 | 5 (4.63%)
Mongolia: 227 | 0 (0.00%)
Montenegro: 1,019 | 19 (1.86%)
Montserrat: 11 | 1 (9.09%)
Morocco: 14,949 | 242 (1.62%)
Mozambique: 1,092 | 9 (0.82%)
Myanmar: 321 | 6 (1.87%)
Namibia: 615 | 0 (0.00%)
Nepal: 16,531 | 35 (0.21%)
Netherlands: 50,743 | 6,128 (12.08%)
New_Caledonia: 21 | 0 (0.00%)
New_Zealand: 1,192 | 22 (1.85%)
Nicaragua: 2,846 | 91 (3.20%)
Niger: 1,097 | 68 (6.20%)
Nigeria: 30,748 | 689 (2.24%)
North_Macedonia: 7,567 | 361 (4.77%)
Northern_Mariana_Islands: 31 | 2 (6.45%)
Norway: 8,954 | 252 (2.81%)
Oman: 51,725 | 236 (0.46%)
Pakistan: 243,599 | 5,058 (2.08%)
Palestine: 5,829 | 27 (0.46%)
Panama: 42,216 | 839 (1.99%)
Papua_New_Guinea: 11 | 0 (0.00%)
Paraguay: 2,638 | 20 (0.76%)
Peru: 316,448 | 11,314 (3.58%)
Philippines: 51,754 | 1,318 (2.55%)
Poland: 36,951 | 1,551 (4.20%)
Portugal: 45,277 | 1,644 (3.63%)
Puerto_Rico: 8,904 | 159 (1.79%)
Qatar: 102,110 | 142 (0.14%)
Romania: 30,789 | 1,834 (5.96%)
Russia: 707,301 | 10,843 (1.53%)
Rwanda: 1,210 | 3 (0.25%)
Saint_Kitts_and_Nevis: 16 | 0 (0.00%)
Saint_Lucia: 22 | 0 (0.00%)
Saint_Vincent_and_the_Grenadines: 29 | 0 (0.00%)
San_Marino: 714 | 42 (5.88%)
Sao_Tome_and_Principe: 726 | 14 (1.93%)
Saudi_Arabia: 223,327 | 2,100 (0.94%)
Senegal: 7,784 | 143 (1.84%)
Serbia: 17,342 | 352 (2.03%)
Seychelles: 94 | 0 (0.00%)
Sierra_Leone: 1,598 | 63 (3.94%)
Singapore: 45,422 | 26 (0.06%)
Sint_Maarten: 78 | 15 (19.23%)
Slovakia: 1,851 | 28 (1.51%)
Slovenia: 1,776 | 111 (6.25%)
Somalia: 3,038 | 92 (3.03%)
South_Africa: 238,339 | 3,720 (1.56%)
South_Korea: 13,338 | 288 (2.16%)
South_Sudan: 2,113 | 40 (1.89%)
Spain: 253,056 | 28,401 (11.22%)
Sri_Lanka: 2,350 | 11 (0.47%)
Sudan: 10,158 | 641 (6.31%)
Suriname: 694 | 17 (2.45%)
Sweden: 74,333 | 5,500 (7.40%)
Switzerland: 32,501 | 1,685 (5.18%)
Syria: 372 | 14 (3.76%)
Taiwan: 451 | 7 (1.55%)
Tajikistan: 6,410 | 54 (0.84%)
Thailand: 3,202 | 58 (1.81%)
Timor_Leste: 24 | 0 (0.00%)
Togo: 704 | 15 (2.13%)
Trinidad_and_Tobago: 133 | 8 (6.02%)
Tunisia: 1,231 | 50 (4.06%)
Turkey: 209,962 | 5,300 (2.52%)
Turks_and_Caicos_islands: 55 | 2 (3.64%)
Uganda: 1,000 | 0 (0.00%)
Ukraine: 52,043 | 1,345 (2.58%)
United_Arab_Emirates: 53,577 | 328 (0.61%)
United_Kingdom: 287,621 | 44,602 (15.51%)
United_Republic_of_Tanzania: 509 | 21 (4.13%)
United_States_of_America: 3,118,008 | 133,291 (4.27%)
United_States_Virgin_Islands: 153 | 6 (3.92%)
Uruguay: 977 | 29 (2.97%)
Uzbekistan: 11,723 | 52 (0.44%)
Venezuela: 8,372 | 80 (0.96%)
Vietnam: 369 | 0 (0.00%)
Western_Sahara: 519 | 1 (0.19%)
Yemen: 1,356 | 361 (26.62%)
Zambia: 1,895 | 42 (2.22%)
Zimbabwe: 926 | 12 (1.30%)
